Model Name;Parameters;Time;Train Accuracy Mean;Train F1 Mean;Test F1 Mean;Test F1 Std;Test Precision Mean;Test Recall Mean;Test Accuracy Mean
DecisionTreeClassifier;{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': False, 'random_state': None, 'splitter': 'best'};0.051738643646240236;1.0;1.0;0.564720872858305;0.03155570164282587;0.572655440161161;0.5579087579087579;0.9386453380224676
AdaBoostClassifier;{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 1.0, 'n_estimators': 100, 'random_state': None};0.7292179584503173;0.9679488850015193;0.7582369838653683;0.6005132386123331;0.05373835857692668;0.6621243338379548;0.5530136530136531;0.9479886851850594
BaggingClassifier;{'base_estimator': None, 'bootstrap': True, 'bootstrap_features': False, 'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False};2.5539282321929933;1.0;1.0;0.650919438498061;0.038131926775153334;0.7438397338894219;0.5812187812187812;0.9558624686242483
GradientBoostingClassifier;{'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'auto', 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False};0.33667702674865724;0.9820971426025755;0.8646196600983671;0.6439784450576542;0.05791081114915737;0.70672188856648;0.594005994005994;0.9536655027230416
RandomForestClassifier;{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False};0.6764915466308594;1.0;1.0;0.6774368286502719;0.028804869824085966;0.7781924639184167;0.6017649017649017;0.9593419872782839
LogisticRegressionCV;{'Cs': 10, 'class_weight': None, 'cv': 'warn', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1.0, 'max_iter': 100, 'multi_class': 'warn', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'refit': True, 'scoring': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0};0.22062067985534667;0.9504121602504385;0.567601967441562;0.5644078201368524;0.043249128318053616;0.7460452672177926;0.45501165501165497;0.9501826305887733
BernoulliNB;{'alpha': 1.0, 'binarize': 0.0, 'class_prior': None, 'fit_prior': True};0.0010027408599853516;0.8522436914823694;0.44044477550623967;0.4393826492696543;0.014272312697696509;0.3008951452691608;0.814951714951715;0.8516521592936961
GaussianNB;{'priors': None, 'var_smoothing': 1e-09};0.004919624328613282;0.8996335298402819;0.46928506848447515;0.4621973240193758;0.040488178832807455;0.3707201222001919;0.6142191142191142;0.8985334214484302
KNeighborsClassifier;{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'};0.00937356948852539;0.968956179568553;0.7610625000922028;0.6525238907972721;0.05327537461145776;0.7375565964090555;0.5862470862470863;0.9556808271539463
SVC;{'C': 1.0, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'auto_deprecated', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False};0.42761573791503904;0.9621796436273996;0.6941107074489742;0.6413209182674832;0.02044832279781491;0.7704327770125253;0.55011655011655;0.9562279299293361
XGBClassifier;{'base_score': 0.5, 'booster': 'gbtree', 'colsample_bylevel': 1, 'colsample_bynode': 1, 'colsample_bytree': 1, 'gamma': 0, 'learning_rate': 0.1, 'max_delta_step': 0, 'max_depth': 3, 'min_child_weight': 1, 'missing': None, 'n_estimators': 100, 'n_jobs': 1, 'nthread': None, 'objective': 'binary:logistic', 'random_state': 0, 'reg_alpha': 0, 'reg_lambda': 1, 'scale_pos_weight': 1, 'seed': None, 'silent': None, 'subsample': 1, 'verbosity': 1};0.2792839050292969;0.9745422288199341;0.8059036916396678;0.6492076670117176;0.043343699148650106;0.7321016108003532;0.5837495837495837;0.955131209037997
